fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns
87,./playback/STIMULI/chinese/wavFilesTest/BAC009S0356W0160_BAC009S0511W0405_04_50_nspkrs_2.wav,2,2,TEST,0.0,9.095,9.095,1,15.140513113635393,37.837137524833956,42.02967553326863,7.87894656365836,1.5026726962100128,2.156003278233328,39.71273628977048,0,4.5
19,./playback/STIMULI/chinese/wavFilesTest/BAC009S0052W0186_BAC009S0084W0412_03_80_nspkrs_2.wav,2,2,TEST,0.0,6.442,9.411,1,10.377835586584396,26.83754200726056,28.804985176781468,154.20431504399562,4.115481937070328,2.0367644935155482,40.7146749296763,0,3.8
47,./playback/STIMULI/chinese/wavFilesTest/BAC009S0120W0135_BAC009S0252W0194_04_06_nspkrs_2.wav,2,2,TEST,0.0,8.208,8.52,1,4.339574797148231,25.056062912482624,27.122101835165875,15.556218635944731,0.7489835588719664,0.681485304574224,61.69301324807568,0,4.06
42,./playback/STIMULI/chinese/wavFilesTest/BAC009S0095W0359_BAC009S0916W0408_04_44_nspkrs_2.wav,2,2,TEST,0.0,8.971,10.913,1,5.410680332690092,40.93549993657436,42.36941474008136,2.163260689478875,2.477870583936033,0.21551620341043076,44.274919451479114,0,4.44
99,./playback/STIMULI/chinese/wavFilesTest/BAC009S0736W0311_BAC009S0736W0289_04_45_nspkrs_1.wav,1,2,TEST,0.0,8.873,9.537,1,28.154056202615777,37.53461443661376,41.113370942898705,83.14071713782073,2.5051471992858474,5.3249504434786985,36.450100595738235,0,4.45
49,./playback/STIMULI/chinese/wavFilesTest/BAC009S0121W0415_BAC009S0121W0371_03_27_nspkrs_1.wav,1,1,TEST,0.0,7.045,7.521,1,19.91540871802769,18.549941884508307,19.413395332057032,119.92049276093505,1.6531963445307145,3.4166402859882794,32.4520479607572,0,3.27
27,./playback/STIMULI/chinese/wavFilesTest/BAC009S0070W0447_BAC009S0083W0159_03_98_nspkrs_2.wav,2,2,TEST,0.0,8.482999999999999,11.215,1,9.355132016503319,56.77237602934348,57.7809950751741,108.50259531099522,0.8603662426689382,5.140019082086624,48.78830571456192,0,3.98
41,./playback/STIMULI/chinese/wavFilesTest/BAC009S0093W0203_BAC009S0106W0233_03_05_nspkrs_2.wav,2,2,TEST,0.0,6.191,6.492999999999999,1,12.696084392243733,31.59181066975004,32.80855309741198,60.574129898586705,2.3479011987107583,2.2959008972242714,47.971783715506426,0,3.05
63,./playback/STIMULI/chinese/wavFilesTest/BAC009S0185W0372_BAC009S0185W0370_03_82_nspkrs_1.wav,1,1,TEST,0.0,6.909,9.246,1,56.67504778532546,44.128246075005265,53.937226520134196,272.51978926890615,6.016915027573246,3.973707128518768,36.80663791057303,0,3.82
97,./playback/STIMULI/chinese/wavFilesTest/BAC009S0733W0439_BAC009S0733W0401_02_67_nspkrs_1.wav,1,1,TEST,0.0,7.196000000000001,15.564,1,11.496633662481173,28.58728739293751,29.680855140266786,136.6248177580129,1.0388072592227342,2.5851038756004385,43.35618473784809,0,2.67
58,./playback/STIMULI/chinese/wavFilesTest/BAC009S0149W0322_BAC009S0510W0446_04_32_nspkrs_2.wav,2,2,TEST,0.0,8.75,9.113,1,3.196731250087737,24.403627800237516,26.24771124379707,12.258264820163902,1.5284978103147484,2.1013217367085417,42.837870295170696,0,4.32
64,./playback/STIMULI/chinese/wavFilesTest/BAC009S0187W0335_BAC009S0203W0176_04_71_nspkrs_2.wav,2,2,TEST,0.0,8.189,8.821,1,5.242128314980789,36.87937206079669,40.43711657587954,137.5942700240144,1.3547577899974108,1.146963299566707,36.3485272461837,0,4.71
31,./playback/STIMULI/chinese/wavFilesTest/BAC009S0072W0461_BAC009S0072W0126_04_38_nspkrs_1.wav,1,1,TEST,0.0,7.986000000000001,8.377,1,10.303836629993015,30.817145929315686,32.91431116117278,33.740707017156694,0.8241157416392078,0.3979096245263207,30.515500690007507,0,4.38
59,./playback/STIMULI/chinese/wavFilesTest/BAC009S0153W0169_BAC009S0230W0205_03_06_nspkrs_2.wav,2,2,TEST,0.0,6.206,9.956,1,1.215219144106527,43.99978465711172,45.14776226350713,121.25631172063652,0.29488497865401087,1.7862642707984406,41.87993763792542,0,3.06
