fIndex,fname,label,response,session,t_start,t_end,t_resp,subID,pitch,mfcc,mel,scentroid,harm,intensity,xvec,lang,changeIns,RT,incorrect
83,./playback/STIMULI/chinese/wavFilesTest/BAC009S0342W0169_BAC009S0342W0129_03_49_nspkrs_1.wav,1,1,TEST,0.0,6.557,6.722,19,11.594473469494972,23.634577070468488,32.21001007678823,11.589208935072804,0.8270017983226445,0.35931407803970217,33.46936778911836,0,3.49,0.16500000000000004,0
24,./playback/STIMULI/chinese/wavFilesTest/BAC009S0065W0350_BAC009S0065W0123_03_54_nspkrs_1.wav,1,1,TEST,0.0,6.749,7.167000000000002,19,15.058430375249655,13.579642763993418,14.660615897168636,103.1148048474173,1.217405550195254,1.9785786154986056,33.930288361347664,0,3.54,0.4180000000000019,0
70,./playback/STIMULI/chinese/wavFilesTest/BAC009S0197W0428_BAC009S0197W0146_03_55_nspkrs_1.wav,1,2,TEST,0.0,6.38,6.9910000000000005,19,6.1972416134178445,34.14366600469378,38.24054061304483,223.3194580101376,4.077404952548175,0.5152155075314653,44.66641480839068,0,3.55,0.6110000000000007,1
105,./playback/STIMULI/chinese/wavFilesTest/BAC009S0902W0425_BAC009S0902W0208_03_61_nspkrs_1.wav,1,1,TEST,0.0,8.082,8.471,19,9.82709785453244,26.107468997101265,27.02231817270935,61.36650527551068,0.40545322426721053,2.376092788895562,31.48636611327861,0,3.61,0.38899999999999935,0
86,./playback/STIMULI/chinese/wavFilesTest/BAC009S0350W0164_BAC009S0513W0149_03_50_nspkrs_2.wav,2,1,TEST,0.0,7.0779999999999985,7.596,19,12.315402965166669,16.884890235921684,21.159222634074453,73.28389889427888,1.6916724485063348,0.122090086296609,47.93465470367544,0,3.5,0.5180000000000016,1
77,./playback/STIMULI/chinese/wavFilesTest/BAC009S0232W0412_BAC009S0363W0133_04_42_nspkrs_2.wav,2,2,TEST,0.0,8.047,8.557,19,3.1586384348654515,32.292546414600096,34.14966850403633,25.061550831853534,1.9317881519841225,1.549231938576554,42.979808120169004,0,4.42,0.5099999999999998,0
102,./playback/STIMULI/chinese/wavFilesTest/BAC009S0759W0192_BAC009S0763W0147_04_14_nspkrs_2.wav,2,1,TEST,0.0,8.362,8.54,19,10.34829892652658,38.910630029167535,39.957327305704155,182.78674365278488,1.477765215762366,0.8833993039532402,40.950165813686795,0,4.14,0.17799999999999905,1
82,./playback/STIMULI/chinese/wavFilesTest/BAC009S0339W0421_BAC009S0339W0196_03_63_nspkrs_1.wav,1,2,TEST,0.0,7.726,8.385,19,29.10356644853186,27.90611740156204,30.962635447497156,159.7472177254341,1.7632564181555246,4.52417124107177,36.36733649707682,0,3.63,0.6589999999999998,1
46,./playback/STIMULI/chinese/wavFilesTest/BAC009S0117W0303_BAC009S0123W0335_05_00_nspkrs_2.wav,2,2,TEST,0.0,10.067,10.575,19,23.43967068379078,49.21312567545538,50.193255425683915,226.79170207283573,1.4628167498713154,2.4392189489881986,46.08776545959425,0,5.0,0.5079999999999991,0
31,./playback/STIMULI/chinese/wavFilesTest/BAC009S0072W0461_BAC009S0072W0126_04_38_nspkrs_1.wav,1,1,TEST,0.0,7.957999999999998,8.554,19,10.303836629993015,30.81714592931569,32.91431116117278,33.740707017156694,0.8241157416392078,0.3979096245263207,30.51550069000751,0,4.38,0.5960000000000019,0
29,./playback/STIMULI/chinese/wavFilesTest/BAC009S0071W0461_BAC009S0071W0413_03_17_nspkrs_1.wav,1,1,TEST,0.0,5.964,6.303,19,13.211760472016636,45.89236350913753,46.055441452221565,91.32198425121528,1.8323266486556908,1.170898469236306,37.5069062622954,0,3.17,0.3389999999999995,0
47,./playback/STIMULI/chinese/wavFilesTest/BAC009S0120W0135_BAC009S0252W0194_04_06_nspkrs_2.wav,2,2,TEST,0.0,8.206,8.685,19,4.339574797148232,25.056062912482624,27.12210183516588,15.556218635944731,0.7489835588719664,0.6814853045742241,61.69301324807567,0,4.06,0.479000000000001,0
64,./playback/STIMULI/chinese/wavFilesTest/BAC009S0187W0335_BAC009S0203W0176_04_71_nspkrs_2.wav,2,2,TEST,0.0,8.162,8.672,19,5.242128314980789,36.87937206079668,40.43711657587954,137.5942700240144,1.3547577899974108,1.146963299566707,36.34852724618371,0,4.71,0.5099999999999998,0
38,./playback/STIMULI/chinese/wavFilesTest/BAC009S0090W0373_BAC009S0090W0327_03_45_nspkrs_1.wav,1,1,TEST,0.0,7.792000000000002,8.204,19,2.4551329087126987,8.887981140705163,10.65286068124614,17.506271610487488,1.917436362531438,0.2688465210243862,28.46850336250016,0,3.45,0.41199999999999903,0
76,./playback/STIMULI/chinese/wavFilesTest/BAC009S0221W0390_BAC009S0221W0360_02_68_nspkrs_1.wav,1,1,TEST,0.0,5.636,6.279,19,11.689819391468804,23.629872696861877,26.559549667356812,34.77414110891129,2.8409469904277422,2.4156240516169016,36.55672789149435,0,2.68,0.6429999999999998,0
44,./playback/STIMULI/chinese/wavFilesTest/BAC009S0110W0303_BAC009S0110W0230_03_54_nspkrs_1.wav,1,1,TEST,0.0,7.09,7.09,19,7.1818467582278345,16.987838711226207,20.389335495343023,33.47133911642027,1.3192473375191565,0.5371624128434576,30.16497210799901,0,3.54,0.0,0
96,./playback/STIMULI/chinese/wavFilesTest/BAC009S0729W0483_BAC009S0729W0320_04_55_nspkrs_1.wav,1,1,TEST,0.0,7.451,7.859,19,14.740259083424066,17.533060971647238,18.577944901357306,100.25903497878937,0.9377385982636629,0.56539187766775,29.184904187770872,0,4.55,0.40800000000000036,0
104,./playback/STIMULI/chinese/wavFilesTest/BAC009S0901W0384_BAC009S0902W0364_03_81_nspkrs_2.wav,2,1,TEST,0.0,7.697999999999999,8.095,19,0.2961528000780333,24.670993880830174,26.232812078786427,176.004075899305,2.496103318960712,1.7300630993062642,50.633885612166225,0,3.81,0.397000000000002,1
49,./playback/STIMULI/chinese/wavFilesTest/BAC009S0121W0415_BAC009S0121W0371_03_27_nspkrs_1.wav,1,1,TEST,0.0,7.024,7.933,19,19.91540871802769,18.54994188450831,19.41339533205703,119.92049276093503,1.6531963445307143,3.4166402859882794,32.4520479607572,0,3.27,0.9089999999999998,0
68,./playback/STIMULI/chinese/wavFilesTest/BAC009S0195W0418_BAC009S0195W0360_03_84_nspkrs_1.wav,1,1,TEST,0.0,6.959,7.654,19,6.698808067622308,25.533594657593422,30.50986251365396,180.2817576372863,0.8400687585935387,1.171605591467241,32.23968995352012,0,3.84,0.6950000000000003,0
65,./playback/STIMULI/chinese/wavFilesTest/BAC009S0191W0224_BAC009S0745W0306_04_33_nspkrs_2.wav,2,1,TEST,0.0,8.721,9.25,19,1.83897659267609,18.435040789313764,20.613795782439727,129.99175832592258,1.10189045927169,0.013643654143223216,43.372387352679176,0,4.33,0.5289999999999999,1
40,./playback/STIMULI/chinese/wavFilesTest/BAC009S0092W0416_BAC009S0092W0154_04_81_nspkrs_1.wav,1,1,TEST,0.0,7.695,7.961,19,1.4886059887508483,25.533339616796013,26.15669729044579,49.73250036935258,3.348414168501753,0.06338667174905765,34.185496314384515,0,4.81,0.266,0
50,./playback/STIMULI/chinese/wavFilesTest/BAC009S0125W0128_BAC009S0170W0274_02_88_nspkrs_2.wav,2,2,TEST,0.0,7.257999999999999,7.532999999999999,19,16.748966109981893,30.734707897471736,35.505960363955246,87.98096778047739,2.1987609634568863,0.07582244246376035,44.63401200689533,0,2.88,0.27499999999999947,0
75,./playback/STIMULI/chinese/wavFilesTest/BAC009S0214W0262_BAC009S0757W0439_03_23_nspkrs_2.wav,2,1,TEST,0.0,7.606,7.921,19,20.319201717588726,44.66185013258563,47.401622455522755,372.97676614164635,0.9463161896994235,1.4414840753451017,42.338104589562995,0,3.23,0.3150000000000004,1
25,./playback/STIMULI/chinese/wavFilesTest/BAC009S0067W0365_BAC009S0067W0250_02_77_nspkrs_1.wav,1,1,TEST,0.0,5.957000000000002,6.415,19,15.785932142493564,21.731479605509872,22.043506472918047,96.19027774813007,1.1979025381444632,1.3666555789770172,32.224803998503816,0,2.77,0.4579999999999984,0
51,./playback/STIMULI/chinese/wavFilesTest/BAC009S0128W0416_BAC009S0128W0353_02_59_nspkrs_1.wav,1,1,TEST,0.0,6.816,7.289,19,0.948997015637758,13.286366208594634,15.880133753790705,37.932668795320296,1.690314328036175,0.2490879911254069,33.67973798485848,0,2.59,0.47299999999999986,0
34,./playback/STIMULI/chinese/wavFilesTest/BAC009S0085W0438_BAC009S0119W0152_03_70_nspkrs_2.wav,2,2,TEST,0.0,7.4689999999999985,7.842,19,8.110737045932979,43.16564466234386,44.150627413763196,277.16139428363687,4.283528306006828,2.024580162895191,55.54256309316928,0,3.7,0.3730000000000011,0
72,./playback/STIMULI/chinese/wavFilesTest/BAC009S0203W0326_BAC009S0665W0433_04_17_nspkrs_2.wav,2,1,TEST,0.0,8.421,8.495,19,14.734245560568638,35.56778143618674,38.74390080186087,158.9363484833745,3.650524615589811,7.2573716540139666,30.489872586995624,0,4.17,0.07399999999999984,1
58,./playback/STIMULI/chinese/wavFilesTest/BAC009S0149W0322_BAC009S0510W0446_04_32_nspkrs_2.wav,2,1,TEST,0.0,8.717,9.641,19,3.196731250087737,24.40362780023752,26.24771124379707,12.258264820163904,1.5284978103147484,2.1013217367085417,42.837870295170696,0,4.32,0.9239999999999995,1
91,./playback/STIMULI/chinese/wavFilesTest/BAC009S0599W0369_BAC009S0599W0145_03_02_nspkrs_1.wav,1,1,TEST,0.0,7.816,8.155,19,4.410498384272613,28.470038527413024,29.449874114095632,22.14422532558132,0.6604920217887429,1.1300667319978572,25.99068257037457,0,3.02,0.3389999999999995,0
85,./playback/STIMULI/chinese/wavFilesTest/BAC009S0347W0352_BAC009S0347W0314_03_13_nspkrs_1.wav,1,1,TEST,0.0,5.977,6.263,19,14.538041908382326,18.441432046831874,22.83598264994238,37.42774151930917,2.539277936072711,2.7538179224868884,37.67967190844557,0,3.13,0.2859999999999996,0
89,./playback/STIMULI/chinese/wavFilesTest/BAC009S0510W0397_BAC009S0510W0268_02_55_nspkrs_1.wav,1,1,TEST,0.0,6.0360000000000005,6.377000000000002,19,2.2388875971848283,24.885780968436485,26.57466817445681,112.05376909368357,1.834875278239036,2.708115504411282,35.76689458520753,0,2.55,0.3410000000000011,0
36,./playback/STIMULI/chinese/wavFilesTest/BAC009S0089W0349_BAC009S0089W0154_04_16_nspkrs_1.wav,1,2,TEST,0.0,6.981,7.198,19,13.173362724231794,29.878892217947666,31.77440907176364,18.391230868977463,0.3037616070058835,3.2778209805894387,28.232919936294657,0,4.16,0.21700000000000053,1
10,./playback/STIMULI/chinese/wavFilesTest/BAC009S0037W0398_BAC009S0037W0309_03_07_nspkrs_1.wav,1,1,TEST,0.0,5.7010000000000005,6.12,19,0.8477878537332799,34.143805586869995,34.705981991844695,22.36934155342396,1.8674548609064219,0.07633741604887234,36.51343330060962,0,3.07,0.4189999999999996,0
69,./playback/STIMULI/chinese/wavFilesTest/BAC009S0197W0310_BAC009S0744W0178_03_45_nspkrs_2.wav,2,2,TEST,0.0,6.985,7.331,19,13.355154840133025,26.027558183995005,30.653114853964468,89.86933354479679,0.19900175259984287,0.08671342312548802,35.894209752185205,0,3.45,0.3460000000000001,0
11,./playback/STIMULI/chinese/wavFilesTest/BAC009S0038W0122_BAC009S0718W0357_03_53_nspkrs_2.wav,2,2,TEST,0.0,7.126,7.366,19,0.3783375347162803,31.856947697848092,33.52045173906186,164.41980073212676,3.2927426228788192,2.90847377166807,43.77554888871509,0,3.53,0.23999999999999932,0
